gene	celltype	trend_class	score	RNA_mean	RNA_rho	CaH_RNA	CaB_RNA	CaT_RNA	H3K27ac_mean	H3K27ac_rho	CaH_K27ac	CaB_K27ac	CaT_K27ac	H3K27me3_mean	H3K27me3_rho	CaH_K27me3	CaB_K27me3	CaT_K27me3	H3K9me3_mean	H3K9me3_rho	CaH_K9me3	CaB_K9me3	CaT_K9me3
FAM133A	STR D1 MSN	DOWN	1.5150176912125048	0.0712980404496193	0.37205617480005315	0.08526752144098282	0.06782989203929901	0.06079675257205963	6.13781448919326e-05	-0.5499767494187355	6.309875607257709e-05	6.10548522672616e-05	5.215899727772921e-05	1.4299283066065982e-05	0.884650340331818	1.1146777069370728e-05	1.3206876246840693e-05	3.316285801702179e-05	0.0	0.0	0.0	0.0	0.0
ASAP2	STR D1 MSN	DOWN	1.5144018232844312	0.8716123104095459	-0.15612060563941701	1.0000715255737305	1.0023865699768066	0.6123794913291931	6.198835035320371e-05	-0.8889882247056178	6.520038732560351e-05	6.085846689529717e-05	4.780717063113116e-05	8.19269916974008e-06	0.4293862015776662	7.061052201606799e-06	1.0688759175536688e-05	6.368276899593184e-06	6.357920938171446e-06	0.487919066482301	7.32997250452172e-06	4.011079454357969e-06	1.0500950338609982e-05
PSD3	STR D1 MSN	DOWN	1.5118109374121536	1.7409090995788574	-0.1511213252052729	1.930762529373169	1.7232862710952759	1.568683385848999	5.0785954954335466e-05	-0.5362364059101479	5.333087028702721e-05	4.891003845841624e-05	4.519250069279224e-05	2.1361595372582087e-06	0.7468124279854587	4.956514771947695e-07	3.7223901472316356e-06	5.539656285691308e-06	7.018195447017206e-06	0.3545204529150254	6.11252880844404e-06	7.4257422966184095e-06	1.1398178685340099e-05
EYA1	STR D1 MSN	DOWN	1.4979749784103766	1.3041682243347168	-0.18253608967597254	1.5487534999847412	1.4034818410873413	0.9602699279785156	7.180262764450163e-05	-0.39284032100802524	7.318261486943811e-05	7.12458640919067e-05	6.612031575059518e-05	3.862208359350916e-06	0.2297914553223764	3.6501348859019345e-06	4.43868293587002e-06	3.1967838367563672e-06	7.776994607411325e-06	0.471361949979188	6.743868198100245e-06	7.491363248846028e-06	1.6249743566731922e-05
EOGT	STR D1 MSN	DOWN	1.4873641693642055	0.052808426320552826	0.35437131865574373	0.06592671573162079	0.05224189907312393	0.04025664180517197	1.5535990314674564e-05	0.16588614715367886	1.8930426449514925e-05	1.2432022231223527e-05	1.1539078514033463e-05	5.580765446211444e-06	0.5905376151761522	5.665239314112114e-06	5.368041001929669e-06	5.795534889330156e-06	7.806306712154765e-06	0.44840195126050203	8.577540938858874e-06	6.193928584252717e-06	9.937179129337892e-06
ZFHX4-AS1	STR D1 MSN	DOWN	1.4839537313227769	0.07019653171300888	0.2091295138831076	0.08771989494562149	0.06171254441142082	0.06115709990262985	8.608997450210154e-05	-0.8979824495612391	8.96416386240162e-05	8.747234096517786e-05	5.526775203179568e-05	2.774811264316668e-06	0.5288739128794938	2.094234559990582e-06	3.865063263219781e-06	2.9004845600866247e-06	6.816984296165174e-06	0.6040367291940791	6.718291842844337e-06	6.6124339355155826e-06	8.447438631264959e-06
CLCA4-AS1	STR D1 MSN	DOWN	1.4779751758892279	0.047666992992162704	-0.3199393513731819	0.05181733891367912	0.04627600684762001	0.0449075773358345	0.00010024259245255962	-0.8462986574664368	0.00010613320773700252	9.710079757496715e-05	8.038925443543121e-05	8.47059823172458e-07	0.6422965718099033	3.500529430766619e-07	1.231271198776085e-06	2.164941406590515e-06	7.961848496051971e-06	0.40113975337835706	7.735854524071328e-06	7.0132905420905445e-06	1.3919352568336762e-05
PARD6G-AS1	STR D1 MSN	DOWN	1.4647674120087828	0.0773424506187439	0.21333040727670943	0.08905445784330368	0.081903375685215	0.061069440096616745	3.865311373374425e-05	-0.15950498762469065	3.9311704313149676e-05	3.862664016196504e-05	3.456530612311326e-05	3.4384434002276976e-06	0.7168357701582142	2.9380962587310933e-06	2.7607968604570488e-06	7.933158485684544e-06	4.897553480986971e-06	0.5731411312675214	3.6345250009617303e-06	6.241182745725382e-06	7.414926130877575e-06
MTX3	STR D1 MSN	DOWN	1.4535488859796795	0.1951415091753006	0.16426477478133975	0.20722509920597076	0.19986148178577423	0.17833760380744934	5.9466332459123805e-05	-0.6150933773344334	6.0930462495889515e-05	6.0749520343961194e-05	4.265551979187876e-05	5.746595661548781e-07	0.49130452612644626	3.0952654128668655e-07	8.098076023088652e-07	1.1878539680765243e-06	5.4274646572594065e-06	0.7206320101701937	4.801515387953259e-06	5.254390543996124e-06	1.0561024282651488e-05
GRID2	STR D1 MSN	DOWN	1.4441837786159706	2.9849655628204346	-0.15936671528518961	3.1294074058532715	3.037055253982544	2.788424491882324	9.376752859679982e-05	-0.9387414685367136	9.715562191559002e-05	9.389840124640614e-05	7.119970541680232e-05	1.8335898630539305e-06	0.7037431781193011	8.24624976303312e-07	2.599947492853971e-06	4.549542154563824e-06	6.373375526891323e-06	0.4488330108978361	5.3472303989110515e-06	6.652662705164403e-06	1.2181215424789116e-05
