gene	celltype	trend_class	score	RNA_mean	RNA_rho	NAC_RNA	Pu_RNA	CaB_RNA	H3K27ac_mean	H3K27ac_rho	NAC_K27ac	Pu_K27ac	CaB_K27ac	H3K27me3_mean	H3K27me3_rho	NAC_K27me3	Pu_K27me3	CaB_K27me3	H3K9me3_mean	H3K9me3_rho	NAC_K9me3	Pu_K9me3	CaB_K9me3
KLF2-DT	STR D2 MSN	DOWN	2.930941953032542	0.02074379101395607	-0.41399981277745657	0.045968640595674515	0.008821001276373863	0.007441745139658451	1.90992905118037e-05	-0.5964158050195041	2.5235984139726497e-05	1.753036667651031e-05	1.6157415302586742e-05	6.394858792191371e-05	0.8343043576089403	2.8515458325273357e-05	6.973756535444409e-05	6.747434235876426e-05	2.0967274394934066e-05	0.9093082408791937	8.893346603144892e-06	2.57788324233843e-05	2.82296932709869e-05
SEMA3E	STR D2 MSN	DOWN	2.901061210362595	0.10457555949687958	-0.19606403935583766	0.2470441460609436	0.04625902324914932	0.02042357064783573	1.627798701520078e-05	-0.5201043918371201	2.3091919501894154e-05	1.7944626961252652e-05	8.88349131855648e-06	7.079407077981159e-05	0.7154443861096528	5.4846015700604767e-05	7.364810880972072e-05	7.197534432634711e-05	6.617191684199497e-05	0.08647116177904449	5.815768236061558e-05	7.131502934498712e-05	6.904280598973855e-05
TRPC7	STR D2 MSN	DOWN	2.8886948131164396	0.025526029989123344	-0.4167957384945827	0.05208573117852211	0.013064109720289707	0.011428244411945343	1.9855220671161078e-05	-0.6828059039585993	3.542600461514667e-05	1.7062962797353975e-05	1.0951294825645164e-05	7.311596709769219e-05	-0.001882547063676592	5.513031646842137e-05	7.46727455407381e-05	7.716296386206523e-05	4.018629260826856e-05	0.5844185796214989	2.7679969207383692e-05	4.569404336507432e-05	4.71848325105384e-05
MIR924HG	STR D2 MSN	DOWN	2.879219861414093	0.06112458184361458	-0.2723564591441913	0.12584048509597778	0.03957958519458771	0.017953768372535706	2.715014670684468e-05	-0.6721318053446079	4.2789499275386333e-05	2.28945445996942e-05	1.996422724914737e-05	4.6796445531072095e-05	-0.200865521638041	4.497795816860162e-05	4.095951226190664e-05	5.699809844372794e-05	4.381589678814635e-05	0.5268491712292808	2.9554328648373485e-05	4.8798712668940425e-05	5.309461630531587e-05
NRP1	STR D2 MSN	DOWN	2.823974510532346	0.050782617181539536	-0.1961493870658214	0.1309119462966919	0.013633346185088158	0.007802554871886969	5.7695207942742854e-05	-0.38994224855621396	7.275175448739901e-05	5.947791214566678e-05	4.365680069895461e-05	4.391405309434049e-05	-0.6308872721818046	3.531541005941108e-05	4.0721071854932234e-05	5.2280709496699274e-05	2.4120028683682904e-05	0.7064516612915324	1.8461039871908724e-05	2.53011858148966e-05	2.8597880373126827e-05
ABLIM1	STR D2 MSN	DOWN	2.7641650410610765	0.7776661515235901	0.35432020639308776	1.16367769241333	0.6355699896812439	0.5337520837783813	6.535599095514044e-05	-0.8953018825470638	0.0001344735937891528	4.3313662899890915e-05	3.7515379517572e-05	2.2674499632557854e-05	-0.8195411785976028	9.023471648106351e-06	2.2008347514201887e-05	2.8764497983502224e-05	1.8049067875836045e-05	0.5791808233930503	1.0963097338390071e-05	2.082044920825865e-05	2.2363654352375306e-05
ABCC4	STR D2 MSN	DOWN	2.7419164319275664	0.073365218937397	-0.23249479731454747	0.12711705267429352	0.05000420659780502	0.04297442361712456	1.416553004673915e-05	-0.6738391578667479	2.408997534075752e-05	1.253565824299585e-05	8.308913493237924e-06	5.718741158489138e-05	-0.4707327683192081	4.6486798964906484e-05	5.82740394747816e-05	5.9333087847335264e-05	3.7914986023679376e-05	0.7836888861055401	2.2650030587101355e-05	4.369979433249682e-05	4.7395264118677005e-05
MKX	STR D2 MSN	DOWN	2.6767419288506447	0.023963578045368195	-0.3994415380827584	0.05947371944785118	0.006589675787836313	0.005827383603900671	2.3258251530933194e-05	-0.3273081827045677	2.957377364509739e-05	2.27506516239373e-05	1.8890012142946944e-05	5.4606396588496864e-05	0.6987159678991975	4.0206476114690304e-05	5.7713208661880344e-05	5.4807303968118504e-05	2.522455179132521e-05	0.8150622084112507	1.9179291484761052e-05	2.904494249378331e-05	2.7449432309367694e-05
GNG12	STR D2 MSN	DOWN	2.5807183713568174	0.03846439719200134	-0.3244787176998784	0.08341046422719955	0.017829975113272667	0.014152752235531807	1.8301032469025813e-05	-0.660285226028974	2.6577114113024436e-05	1.7095664588850923e-05	1.323091328231385e-05	3.6130764783592895e-05	0.6249276231905799	3.602921060519293e-05	3.586398815969005e-05	3.66037456842605e-05	1.797495860955678e-05	0.6355356580800045	1.6418580344179645e-05	1.7828248019213788e-05	1.9678042008308694e-05
CMTM8	STR D2 MSN	DOWN	2.5714943648951736	0.0269111730158329	-0.21017869149853874	0.050769656896591187	0.018297282978892326	0.01166660338640213	2.092274917231407e-05	-0.4601701945106723	3.206534165656194e-05	1.741043888614513e-05	1.6384656191803515e-05	3.005473809025716e-05	-0.5709832745818646	2.1528383513214067e-05	2.8945005396963097e-05	3.499162630760111e-05	4.677246033679694e-05	0.06501462536563415	3.7756322853965685e-05	5.1873677875846624e-05	5.0687409384408966e-05
